商品,日付,売価,販売数,天気
プランター,2024-07-01,1280,1,雨
除草剤,2024-07-01,980,3,雨
洗車シャンプー,2024-07-01,780,4,雨
BBQコンロ,2024-07-01,4980,2,雨
ブロッコリー,2024-07-01,158,3,雨
ホウレンソウ,2024-07-01,128,4,雨
キャンプグッズセット,2024-07-01,9800,1,雨
防災セット,2024-07-01,5980,4,雨
アイスクリーム,2024-07-01,180,18,雨
ホットコーヒー,2024-07-01,130,16,雨
傘,2024-07-01,980,17,雨
電動ドライバー,2024-07-01,6980,1,雨
脚立,2024-07-01,2980,6,雨
LED電球,2024-07-01,980,12,雨
カラーボックス,2024-07-01,1980,5,雨
トイレットペーパー,2024-07-01,398,14,雨
防カビ剤,2024-07-01,598,20,雨
軍手,2024-07-01,198,11,雨
扇風機,2024-07-01,3980,3,雨
掃除機,2024-07-01,12800,5,雨
プランター,2024-07-02,1280,15,曇り
除草剤,2024-07-02,980,9,曇り
洗車シャンプー,2024-07-02,780,12,曇り
BBQコンロ,2024-07-02,4980,8,曇り
ブロッコリー,2024-07-02,158,4,曇り
ホウレンソウ,2024-07-02,128,13,曇り
キャンプグッズセット,2024-07-02,9800,1,曇り
防災セット,2024-07-02,5980,2,曇り
アイスクリーム,2024-07-02,180,5,曇り
ホットコーヒー,2024-07-02,130,3,曇り
傘,2024-07-02,980,7,曇り
電動ドライバー,2024-07-02,6980,11,曇り
脚立,2024-07-02,2980,10,曇り
LED電球,2024-07-02,980,6,曇り
カラーボックス,2024-07-02,1980,4,曇り
トイレットペーパー,2024-07-02,398,15,曇り
防カビ剤,2024-07-02,598,2,曇り
軍手,2024-07-02,198,2,曇り
扇風機,2024-07-02,3980,7,曇り
掃除機,2024-07-02,12800,11,曇り
プランター,2024-07-03,1280,4,雨
除草剤,2024-07-03,980,3,雨
洗車シャンプー,2024-07-03,780,5,雨
BBQコンロ,2024-07-03,4980,2,雨
ブロッコリー,2024-07-03,158,9,雨
ホウレンソウ,2024-07-03,128,7,雨
キャンプグッズセット,2024-07-03,9800,1,雨
防災セット,2024-07-03,5980,1,雨
アイスクリーム,2024-07-03,180,1,雨
ホットコーヒー,2024-07-03,130,17,雨
傘,2024-07-03,980,10,雨
