年,月,"来患数
（レセプト
枚数）",延人数,保険点数,自費金額,物品売上,"外来実績
診療日数"
2022,12,515,769,"740,553","6,137,800","67,290",19
2023,1,534,780,"687,926","6,845,980","109,790",20
2023,2,505,747,"707,787","6,113,300","49,020",20
2023,3,524,813,"742,304","7,491,600","59,540",22
2023,4,486,774,"753,864","6,686,900","89,940",21
2023,5,512,781,"744,498","6,857,400","105,510",19
2023,6,518,816,"754,884","6,594,900","86,190",21
2023,7,542,828,"791,660","6,259,900","115,720",22
2023,8,515,739,"679,582","6,212,300","96,450",19
2023,9,562,807,"747,140","4,862,800","112,480",22
2023,10,559,812,"757,297","8,636,900","133,770",22
2023,11,533,784,"716,557","4,360,500","96,910",21
2023,12,522,771,"760,734","9,245,950","108,400",20
2024,1,549,775,"775,010","5,707,900","109,556",20
2024,2,520,774,"755,948","7,136,620","110,580",20
2024,3,603,923,"913,851","4,822,600","181,870",23
2024,4,564,840,"830,299","5,302,200","101,860",19
2024,5,601,887,"846,130","6,488,650","129,710",20
2024,6,620,980,"885,591","7,858,400","117,280",22
2024,7,608,927,"877,350","4,574,200","136,450",20
2024,8,560,830,"797,788","4,506,700","93,590",19
2024,9,621,906,"837,225","5,187,050","93,850",21
2024,10,599,950,"891,147","6,329,400","100,340",22
2024,11,619,970,"905,125","5,620,100","169,280",22
2024,12,652,894,"851,080","4,459,500","145,200",19
2025,1,665,917,"939,132","4,419,100","80,072",19
2025,2,608,902,"836,307","3,446,900","122,420",20
2025,3,658,"1,016","1,006,666","7,194,100","95,190",22
2025,4,655,"1,007","1,011,158","5,815,050","71,570",22
2025,5,615,881,"883,110","4,581,500","171,410",19
2025,6,645,959,"1,001,485","6,953,550","109,940",20
2025,7,685,997,"1,033,611","7,522,900","122,970",22
2025,8,687,"1,002","1,085,380","8,287,600","112,140",21
2025,9,639,953,"981,390","5,643,700","127,150",23
2025,10,650,985,"1,034,646","10,261,100","152,100",22
2025,11,632,951,"918,277","7,539,200","201,240",22
2025,12,662,959,"972,694","5,941,800","221,970",20
2026,1,668,952,"913,058","6,627,500","67,350",19
